,type,longitude,latitude
8932,other,4.8876098,52.3665978
8933,other,4.8835439,52.3644811
8934,other,4.8900907,52.3674983
8935,other,4.8906046,52.3675588
8936,other,4.8906254,52.3677021
8937,restaurant,4.8543991,52.3506538
8938,pub,4.899591,52.3761659
8939,restaurant,4.882276,52.3763149
8940,fast_food,4.9041127,52.3827365
8941,fast_food,4.9042126,52.3827854
8942,restaurant,4.9001381,52.3746532
8943,other,4.8860573,52.3704041
8944,restaurant,4.8773404,52.3754261
8945,restaurant,4.873546,52.3743573
8946,fast_food,4.9447752,52.3129113
8947,parking,4.941304,52.3102234
8948,fast_food,4.9382034,52.3116933
8949,fast_food,4.9382892,52.3118146
8950,pub,4.9385212,52.3122058
8951,cafe,4.938518,52.3125184
8952,other,4.9947549,52.3572399
8953,cafe,4.918974,52.3980466
8954,other,4.9043015,52.4064177
8955,school,4.8231011,52.3609864
8956,arts_centre,4.8235707,52.3604325
8957,other,4.8703868,52.3505304
8958,waste_basket,4.9413097,52.3676501
8959,other,4.8374505,52.3906788
8960,other,4.872517,52.3829517
8961,other,4.8722659,52.3829131
8962,other,4.8725855,52.3827995
8963,other,4.8726515,52.3826544
8964,other,4.872471,52.38304
8965,other,4.8724871,52.3830036
8966,payment_terminal,4.8725361,52.3829188
8967,other,4.8726679,52.3820572
8968,other,4.8728254,52.3822853
8969,post_box,4.8728279,52.3824651
8970,other,4.8617802,52.352719
8971,bicycle_rental,4.9031141,52.383032
8972,bicycle_repair_station,4.9029854,52.3831168
8973,other,4.8618115,52.3629033
8974,other,4.8972717,52.371617
8975,restaurant,4.887686,52.3679863
8976,other,4.8821372,52.3768464
8977,cafe,4.8915032,52.3526674
8978,post_box,4.7893486,52.3629659
8979,other,4.9848329,52.3913318
8980,bench,5.0014333,52.390386
8981,sanitary_dump_station,4.9063935,52.3820112
8982,waste_disposal,4.9080335,52.3829991
8983,toilets,4.9073507,52.3830736
8984,shower,4.9073185,52.3831
8985,cafe,4.8861207,52.3886201
8986,drinking_water,4.8873906,52.3889383
8987,cafe,4.891252,52.3893192
8988,restaurant,4.8900059,52.3881355
8989,pub,4.8776939,52.3742031
8990,other,4.8813222,52.3625459
8991,restaurant,4.8556982,52.3534506
8992,bar,4.874794,52.3740546
8993,parking,4.9587136,52.2975711
8994,bicycle_parking,4.9010798,52.3667597
8995,bicycle_parking,4.9006642,52.3669276
8996,bicycle_parking,4.900494,52.3669947
8997,bicycle_parking,4.9003269,52.3670539
8998,bicycle_parking,4.9001948,52.3671074
8999,bicycle_parking,4.9000453,52.3671666
9000,bicycle_parking,4.8997684,52.3672774
9001,bicycle_parking,4.8995774,52.3673541
9002,bicycle_parking,4.8994088,52.3674251
9003,bicycle_parking,4.899221,52.3674902
9004,bicycle_parking,4.907661,52.3553545
9005,bicycle_parking,4.9045236,52.3607277
9006,bicycle_parking,4.9043125,52.3611152
9007,bicycle_parking,4.9038782,52.3619944
9008,bicycle_parking,4.9023978,52.3648807
9009,bicycle_parking,4.9017967,52.3660621
9010,bench,4.9177649,52.4115717
9011,bench,4.9278586,52.410184
9012,atm,4.8998446,52.3797143
9013,fast_food,4.9007834,52.3788318
9014,other,4.9238442,52.3504807
9015,drinking_water,4.897343,52.3660646
9016,restaurant,4.8885168,52.4000583
9017,other,4.8864296,52.3723643
9018,restaurant,4.8865677,52.3722357
9019,restaurant,4.8856813,52.3723921
9020,other,4.8860098,52.3723815
